projectIdentifier,programArea,programFy,region,state,stateNumberCode,county,countyCode,disasterNumber,projectCounties,projectType,status,recipient,recipientTribalIndicator,subrecipient,subrecipientTribalIndicator,dataSource,dateApproved,dateClosed,dateInitiallyApproved,projectAmount,initialObligationDate,initialObligationAmount,federalShareObligated,subrecipientAdminCostAmt,srmcObligatedAmt,recipientAdminCostAmt,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,id
FMA-PJ-09-CA-2005-001,FMA,2005,9,California,6,Santa Cruz,87,,SANTA CRUZ,"200.1: Acquisition of Private Real Property (Structures and Land) - Riverine; 
202.1: Elevation of Private Structures - Riverine",Closed,California's Governor's Office of Emergency Services,False,"Office of Emergency Services, County of Santa Cruz",False,eGrants,2005-09-28T00:00:00.000Z,2008-06-02T00:00:00.000Z,2006-02-10T00:00:00.000Z,285582.0,2006-02-10T00:00:00.000Z,526047.5,214186.0,,,,0.75,0.0,0.0,5,5,c930ef1c-73c3-45da-a14e-2b6d6acd55dd
FMA-PJ-09CA-1998001,FMA,1998,9,California,6,Statewide,0,,STATEWIDE,"200.1: Acquisition of Private Real Property (Structures and Land) - Riverine; 
202.1: Elevation of Private Structures - Riverine",Pending,,,Sacramento County *,,FMA,,,,509287.0,,,0.0,,,,0.75,1.18,450000.0,0,0,3c840ddd-c1ba-439d-bd29-ab36787426d1
FMA-PJ-09CA-1997001,FMA,1997,9,California,6,Statewide,0,,STATEWIDE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,,,Sacramento County *,,FMA,,,,286267.0,,,0.0,,,,0.75,1.23,350000.0,0,0,1095f89a-220a-482b-a59f-e66e98104318
DR-1203-103-R,HMGP,1998,9,California,6,Orange,59,1203.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Laguna Beach,,HMGP-Historical,1998-10-30T00:00:00.000Z,2002-11-07T00:00:00.000Z,,795165.0,,,596374.0,,,,0.75,1.0,165816.0,3,3,c306e284-90dc-429f-be5e-dd912377135d
DR-1203-102-R,HMGP,1998,9,California,6,Orange,59,1203.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,"Laguna Niguel, City of",,HMGP-Historical,1998-10-29T00:00:00.000Z,2002-01-03T00:00:00.000Z,,570780.0,,,428085.0,,,,0.75,1.0,599319.0,8,8,04bf47c3-8a92-4393-94f3-78d28f3b3465
DR-4769-0017-R,HMGP,2024,9,California,6,Los Angeles,37,4769.0,LOS ANGELES,200.6: Acquisition of Private Real Property (Structures and Land) - Landslide,Pending,Statewide,False,Rancho Palos Verdes,False,HMGP,,,,13527222.0,,,,,,,0.75,1.06,14318955.0,0,1,a222de0e-a38d-4fa6-88cf-d819ca19b2a9
DR-1203-101-R,HMGP,1998,9,California,6,Orange,59,1203.0,ORANGE,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,"Laguna Niguel, City of",,HMGP-Historical,2012-05-11T00:00:00.000Z,2012-05-11T00:00:00.000Z,,15261.0,,,11445.0,,,,0.75,1.0,7448343.0,30,30,bc053141-af9f-4599-94c8-0c2988ba52f0
DR-1203-117-R,HMGP,1998,9,California,6,Monterey,53,1203.0,MONTEREY,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Monterey County,,HMGP-Historical,1998-10-30T00:00:00.000Z,2000-03-02T00:00:00.000Z,,1619375.0,,,1214531.0,,,,0.75,1.0,1987335.0,11,11,104d3b1b-f51c-404e-9b9c-3aabe58d2b19
DR-1203-108-R,HMGP,1998,9,California,6,Los Angeles,37,1203.0,LOS ANGELES,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,"L.A. Co., Dept of Public Works",,HMGP-Historical,1998-10-30T00:00:00.000Z,2006-08-07T00:00:00.000Z,,1148574.0,,,861431.0,,,,0.75,1.0,1347070.0,4,4,d885a372-764f-46ab-a681-700763d9e816
DR-1008-0005-R,HMGP,1994,9,California,6,Los Angeles,37,1008.0,LOS ANGELES,200.3: Acquisition of Public Real Property (Structures and Land) - Riverine,Closed,,,Newhall County Water District,,HMGP-Historical,1996-02-22T00:00:00.000Z,1999-11-04T00:00:00.000Z,,9669945.0,,,7252458.0,,,,0.75,1.0,9669944.0,1,1,db267f35-3ab1-473e-9bab-7cfad045dc9e
DR-1203-104-R,HMGP,1998,9,California,6,Los Angeles,37,1203.0,LOS ANGELES,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,City of Los Angeles,,HMGP-Historical,1998-10-29T00:00:00.000Z,2000-11-03T00:00:00.000Z,,3032107.0,,,2274080.0,,,,0.75,1.0,3215520.0,11,11,1bed54cc-a81f-4d0f-a826-b156167592de
DR-4699-0066-R,HMGP,2023,9,California,6,Los Angeles,37,4699.0,LOS ANGELES,200.6: Acquisition of Private Real Property (Structures and Land) - Landslide,Pending,Statewide,False,Rancho Palos Verdes,False,HMGP,,,,56000000.0,,,,,,,0.75,1.22,232031080.0,0,1,b137b8cd-f7a3-4db1-acf7-387db021cf78
DR-4240-0050-R,HMGP,2015,9,California,6,San Mateo,81,4240.0,SAN MATEO,200.2: Acquisition of Private Real Property (Structures and Land) - Coastal,Closed,Statewide,False,Pacifica,False,HMGP,2018-11-29T00:00:00.000Z,2018-11-29T00:00:00.000Z,2017-09-15T00:00:00.000Z,1567444.0,2017-10-04T00:00:00.000Z,993750.0,833359.0,0.0,0.0,0.0,0.53,0.0,0.0,2,2,eb88d316-fc00-49a6-9e75-f0bde438898c
